まずは視点を変え、挑戦する価値があるかどうかを考える。そして、自分の中で６から７割、実現できる可能性が出てきたら挑戦する。,鈴木敏文
顧客の動きを見続けることです。なぜ市場が変わってきているのか、それを顧客はどう受け止めているのかを考えていかなければならない。ところが、人間はたいてい過去の成功事例で問題を解決しようとします。この際、過去の経験は捨てないといけない。,鈴木敏文
先手を打つという言葉があります。しかし、本当に先手なんて打てるのでしょうか？世の中が変わることがわかっていたら、誰もバブルなんか引っかからない。先手を打つことはばくちを打つのと同じ。世の中の変化を至近距離でとらえて対応していくしかないと思います。,鈴木敏文
変化に対応するのは簡単ではない。例えば自動車を運転するとき、自分が先頭に立って運転するのは難しいことではありません。自分のペースで運転できるからです。けれども、後からついていくのは結構大変なんです。前の車が信号を通過したとたんに信号が赤に変わるかもしれないし、急に渋滞が始まるかもしれない。相当な技術が必要になります。,鈴木敏文
同じ悩みにとらわれず、こだわらず、新しい時代に新しい気持ちで対応していくことで、自分の生きがいを見つけていかなくてはなりません。世の中の変化に対応していけないところに悩みが生まれます。この世の中は生々流転の世であり、常に自分も変化しているのだということをはっきり認識することが大事である。,鈴木永二
人に関心を持つことから仕事も人生もスタートするんです。すべての原点は人なんです。人と接することから生まれる勘当や感謝の気持ちが、ひいては人の心を動かすのだと思います。,林文子
何気ない日常生活には、人生を豊かにするサプライズが至る所に転がっています。個を執拗に押さえ込んでいると、それに気づけなくなってしまう。人と出会い、接することで、人は育成されるのです。,林文子
私はお顧客を「個客」という言葉で呼んでいるのですが、社員に対してもお客様に対しても「個」として向き合うことが大切だと思うんです。私自身、日々、笑ったり、泣いたり、悩んだり、一人の人間として人生を送っています。それは誰でも同じです。,林文子
紙に書いてあることは単なる情報にすぎず、人の気持ちを動かすような強烈なインパクトや感情を与えないでしょう？人生の妙味とはサプライズです。思わぬ展開があるのが人生です。いちばん大事にしなければいけないのは、人の心の部分だと思います。知識ももちろん必要ですけど、人に関心を持つことから物事はすべてスタートするんです。,林文子
小さな挫折はありますよ。たとえ会社の業績は上がったとしても、女性差別や嫉妬の対象になったとか、苦い経験が山のようにあります。でもそういうことは、これまであえて語らずに生きてきました。生々しい人間の感情は、どんな世界にいても、常に付きまとうものです。だって、嫉妬心のない人なんていないでしょう？嫉妬心があるのは、人間として普通のことなんです。,林文子
売り上げが大体3倍になると、企業の性格というのが全部違ってくる。,柳井正
商売はスポーツと同じ 。一枚一枚積み重ねてやっていくということが一番大切なんではないかと思います。,柳井正
こういう人に来てもらいたいと心底思っていたら、それは必ず伝わるものだ。必然性のないところには、人は集まらない。,柳井正
行動してみる前に考えても無駄です。行動して修正すればいい。致命的にならない限り失敗してもいい。やってみないとわからない。,柳井正
いまの若い人は豊かになったからか、他人に学ぶ心がないし、物事を多面的に見る力が欠けているように思います。モノの見方が教科書的だし、常識的なところも気になります。若い人にはもっと日本の先人たちに学んでほしいと思います。,柳井正
僕はずっと失敗してきた。今までのどのビジネスでも一勝九敗くらい。唯一成功したのがユニクロです。致命的にならない限り失敗はしてもいい。やってみないとわからない。行動してみる前に考えても無駄です。行動して修正すればいい。,柳井正
組織は仕事をするためにあるのであって、組織のために仕事をするのではない。組織が大きくなると、どうしても初めに組織ありきで仕事を作ってしまいがちですが、いい仕事をするためにどういう組織を作るべきかを、常に考えていかなければいけません。,柳井正
素材選定から商品生産、企画、顧客満足まで自社でワンサイクルで回すことを徹底して、今まで以上に満足してもらい、リピーター増やすことが大事になる。「海外はこういう方法」ということではなく、グローバルワン、世界中で一つのことをやることが大事だ。,柳井正
自分の評価は自分で出来ない。人が自分の言うことを素直に聞いてくれない。提案が通らないというなどというときには、周囲があなたの能力を認めていないと考えるべきでしょう。本当に仕事ができる人は、自分に対する評価が非常に低いのです。それは到達する目標が見えていて、届かない距離が分かるからです。,柳井正
競争相手と差をつけるには人と違ったことを考えるということですよね。そしてもっと重要なことはそれを実行すると言うことなんですね。９９％の人は、自分で他の人と違うことを考えているつもり。でも考えられてない。で、１％の人も考えていてもそれを実行しない。それでは起業は上手くいかないと思います。,柳井正
ほとんどの人が経営を勉強だととらえているからではないでしょうか。ぼくにとっての経営は『実行』『実践』。だから、勉強することも、良いことであれば実行しよう、実践しようという前提があってやる。どれだけ良いアイデアがあっても、実行しなければ成功もしないし、失敗もしない。それは時間のムダでしかないでしょう。,柳井正
会社組織の進歩はコンピュータの進歩と同じだと考えています。かつては中央の汎用コンピュータにいくつもの端末がぶら下がっていましたが、今日ではパーソナルコンピュータがインターネットにつながり、世界中のコンピュータが同時に動く。インターネットは時間や距離を圧倒的に短縮しましたが、組織も同様に進化しなければいけない。,柳井正
組織を固定化したり、壁を作ったりするのが大企業病の典型。そうなると、上の人が現場に降りていかないため、意思疎通が図れないという問題も出てきます。あくまでも現場は宝なんです。だからわが社の場合、極端な話、店長の方が社長よりも偉くないといけない。店長を最終目標に位置づけ、店長という職に誇りを持ってもらいたいんです。,柳井正
自分に対しても相手に対しても、厳しい目を持って見ることが大切です。それは、商売をするうえで欠かせない視点だと思います。客観的な分析、評価ができるということは、経営者としての大切な資質です。自信過剰になることもないし、不必要に卑下することもない。自分に対して厳しすぎると言われることもありますが、その方が居心地がいい。,柳井正
自分のお金で会社を経営して、１００％自分でリスクをとってきたので、責任が自分以外の人間にあるとか、他の要因にあると思った瞬間、僕は自分に負けるような気になるんです。言い訳をせずに全部自分に責任があると割り切った方が気持ちがいいんです。だいいち、失敗を直視し、かつ客観的に原因を分析してこなければ、生き延びてこられなかったでしょう。,柳井正
大多数の日本企業は、いまだにクライアントサーバー型にとどまっていて、作業や仕事を同時進行し、同期化する感覚を持てずにいます。ですからリーダーについても柔軟に考えることができない。リーダーはその仕事にふさわしい人がなればいいし、これからは一人一人が全体最適を考えながら自立し、その力が有機的につながっている会社を目指すべきだと思います。,柳井正
組織は大きくなると安定を求め、保守的になります。それは、日本の企業の多くが直面する課題です。だから、常にぶち壊して一番いい組織に造り替えていかなければなりません。一つ成功すると、達成感のようなものがあって、これでいんじゃないか、このままずっと続けられるのではないかという錯覚に陥る。しかし、世の中は動いていますからそのままではいけない。,柳井正
失敗を恐れてはいけない。失敗にこそ成功の芽は潜んでいる。人生でいちばん悔いが残るのは挑戦しなかったことです。新しい可能性に挑んで、失敗したことではありません。泳げない者は溺れればよい。最初からできる人は少数派で、『できる』と言われる人の多くは、できる人に自らを変えていったんだと思います。ただし、その必然性は人それぞれ違うので自分で発見するしかない。,柳井正
捨てる戦略を展開するには、まったくビジネスモデルを変えてしまうくらいの決断がなければできない。普通の会社がなかなかその決断ができないのは、過去を捨てられないからです。過去にしがみついてなかなか捨てきれない。だから変えきれない。破壊できない。だから革新できないということです。,木村昌平
私の最大の光栄は、一度も失敗しないことではなく、倒れるごとに起きるところにある。,本田宗一郎
芸術でも技術でも、いい仕事をするには、女のことが分かってないとダメなんじゃないかな。,本田宗一郎
進歩とは反省のきびしさに正比例する。とかく他人にきびしく、自分自身に寛大なのは凡人の常だ。,本田宗一郎
人真似をするな。楽をしたければ人真似をするのも自由だが、そうなると企業は転落と崩壊の道をたどり始める。,本田宗一郎
私の現在が成功と言うなら、私の過去はみんな、失敗が土台作りしていることにある。仕事は全部失敗の連続である。,本田宗一郎
資本がないから事業が思わしくないとの声をよく聞くが、それは資本がないからではなく、アイデアがないからである。,本田宗一郎
